LAT	IT	DE	FR	ES	PT	EN
Tetrax tetrax	Gallina prataiola	Zwergtrappe	Outarde canepetière	Sisón Común	Sisão	Little Bustard
Clamator glandarius	Cuculo dal ciuffo	Häherkuckuck	Coucou geai	Críalo Europeo	Cuco-rabilongo	Great Spotted Cuckoo
Coccyzus americanus	Cuculo americano	Gelbschnabelkuckuck	Coulicou à bec jaune	Cuclillo Piquigualdo	Cuco-de-bico-amarelo	Yellow-billed Cuckoo
Coccyzus erythropthalmus	Cuculo occhirossi	Schwarzschnabelkuckuck	Coulicou à bec noir	Cuclillo Piquinegro	Cuco-de-bico-preto	Black-billed Cuckoo
Hierococcyx hyperythrus	Cuculastore settentrionale	Rostbauch-Fluchtkuckuck	Coucou de Chine	Cuco ventrirrojo		Northern Hawk-Cuckoo
Cuculus saturatus	Cuculo dell'Himalaya	Hopfkuckuck	Coucou de l'Himalaya	Cuco oriental	Cuco-orientale	Himalayan Cuckoo
Cuculus canorus	Cuculo	Kuckuck	Coucou gris	Cuco Común	Cuco-canoro	Common Cuckoo
Cuculus gularis/canorus	Cuculo	Kuckuck	Coucou gris	Cuco Común	Cuco-canoro	African/Common Cuckoo
Cuculus optatus	Cuculo orientale	Horsfieldkuckuck	Coucou oriental	Cuco de Horsfield	Cuco-de-horsfield	Oriental Cuckoo
Cuculus saturatus/optatus	Cuculo orientale	Hopfkuckuck	Coucou oriental	Cuco Oriental	Cuco-orientale	Himalayan/Oriental Cuckoo
Cuculus sp.			Cuculus sp.			Cuculus sp.
Cuculidae sp.			Cuculidé sp.			cuckoo sp. (Cuculidae sp.)
Chordeiles minor	Succiacapre sparviere	Falkennachtschwalbe	Engoulevent d'Amérique	Añapero Yanqui	Bacurau-americano	Common Nighthawk
Caprimulgus ruficollis	Succiacapre collorosso	Rothals-Ziegenmelker	Engoulevent à collier roux	Chotacabras Cuellirrojo	Noitibó-de-nuca-vermelha	Red-necked Nightjar
Caprimulgus europaeus	Succiacapre	Ziegenmelker	Engoulevent d'Europe	Chotacabras Europeo	Noitibó da Europa	Eurasian Nightjar
Caprimulgus ruficollis/europaeus			Engoulevent d'Europe ou E. à collier roux			Red-necked/Eurasian Nightjar
Caprimulgus aegyptius	Succiacapre isabellino	Pharaonenziegenmelker	Engoulevent du désert	Chotacabras Egipcio	Noitibó-egípcio	Egyptian Nightjar
Caprimulgus sp.			Caprimulgus sp.			Caprimulgus sp.
Caprimulgidae sp.			Engoulevent sp.			nightjar sp.
Chaetura pelagica	Rondone dei camini	Schornsteinsegler	Martinet ramoneur	Vencejo de Chimenea	Andorinhão-migrante	Chimney Swift
Hirundapus caudacutus	Rondone codacuta	Stachelschwanzsegler	Martinet épineux	Vencejo Mongol	Andorinhão-mongol	White-throated Needletail
Apus melba	Rondone maggiore	Alpensegler	Martinet à ventre blanc	Vencejo Real	Andorinhão-real	Alpine Swift
Apus apus	Rondone comune	Mauersegler	Martinet noir	Vencejo Común	Andorinhão-preto	Common Swift
Apus unicolor	Rondone unicolore	Einfarbsegler	Martinet unicolore	Vencejo Unicolor	Andorinhão-da-serra	Plain Swift
Apus pallidus	Rondone pallido	Fahlsegler	Martinet pâle	Vencejo Pálido	Andorinhão-pálido	Pallid Swift
Apus apus/pallidus			Martinet pâle ou M. noir			Common/Pallid Swift
Apus pacificus	Rondone codaforcuta	Pazifiksegler	Martinet de Sibérie	Vencejo del Pacífico	Andorinhão-asiático	Pacific Swift
Apus pacificus/salimalii/leuconyx/cooki	Rondone codaforcuta	Pazifiksegler	Martinet de Sibérie	Vencejo del Pacífico	Andorinhão-de-cauda-forcada	fork-tailed swift sp.
Apus affinis	Rondone indiano	Haussegler	Martinet des maisons	Vencejo Moro	Andorinhão-pequeno	Little Swift
Apus affinis [affinis Group]	Rondone minore	Haussegler	Martinet des maisons [affinis]	Vencejo Moro		Little Swift (Little)
Apus affinis/nipalensis	Rondone minore	Haussegler	Martinet des maisons	Vencejo Moro	Andorinhão-pequeno	Little/House Swift
Apus caffer	Rondone cafro	Kaffernsegler	Martinet cafre	Vencejo Cafre	Andorinhão-cafre	White-rumped Swift
Apus sp.			Apus sp.			Apus sp.
Apodidae sp. (large swift sp.)			Apodidae sp. (gros martinet sp.)			large swift sp.
Apodidae sp.			Apodidae sp.			swift sp.
Phaethornis sp.			Phaethornis sp.			hermit sp.
Rallus sp. (large Rallus sp.)			Ralllus sp. (grand)			large rail sp.
Rallus aquaticus	Porciglione	Wasserralle	Râle d'eau	Rascón Europeo	Frango-d'água	Water Rail
Rallus aquaticus/indicus	Porciglione comune	Wasserralle	Râle d'eau	Rascón Europeo	Frango-d'água	Water/Brown-cheeked Rail
Crex crex	Re di quaglie	Wachtelkönig	Râle des genêts	Guión de Codornices	Codornizão	Corn Crake
Crex egregia	Re di quaglie africano	Savannenralle	Râle des prés	Guión Africano	Codornizão-africano	African Crake
Porzana carolina	Voltolino della Carolina	Carolinasumpfhuhn	Marouette de Caroline	Polluela Sora	Franga-d'água-americana	Sora
Porzana porzana	Voltolino	Tüpfelsumpfhuhn	Marouette ponctuée	Polluela Pintoja	Franga-d'água-grande	Spotted Crake
Paragallinula angulata	Sciabica minore	Zwergteichhuhn	Gallinule africaine	Gallineta Chica	Galinha-d'água-pequena	Lesser Moorhen
Gallinula chloropus	Gallinella d'acqua	Teichhuhn	Gallinule poule-d'eau	Gallineta Común	Galinha-d'água	Eurasian Moorhen
Gallinula chloropus/galeata	Sciabica	Teichhuhn	Gallinule poule-d'eau	Gallineta Común	Galinha-d'água	Eurasian Moorhen/Common Gallinule
Fulica atra	Folaga	Bläßhuhn	Foulque macroule	Focha Común	Galeirão-comum	Eurasian Coot
Fulica cristata	Folaga crestata	Kammbläßhuhn	Foulque à crête	Focha Moruna	Galeirão-de-crista	Red-knobbed Coot
Fulica atra/cristata			Foulque à crête ou F. macroule			Eurasian/Red-knobbed Coot
Fulica atra x cristata			Hybride Foulque à crête x F. macroule			Eurasian x Red-knobbed Coot (hybrid)
Fulica americana	Folaga americana	Amerikanisches Blässhuhn	Foulque d'Amérique	Focha americana	galeirão-americano	American Coot
Fulica americana (Red-shielded)	Folaga americana	Amerikanisches Blässhuhn	Foulque d'Amérique	Focha americana	galeirão-americano	American Coot (Red-shielded)
Fulica sp.			Fulica sp.			coot sp.
Porphyrio alleni	Pollo sultano di Allen	Bronzesultanshuhn	Talève d'Allen	Calamoncillo Africano	Caimão de Allen	Allen's Gallinule
Porphyrio martinica	Pollo sultano della Martinica	Zwergsultanshuhn	Talève violacée	Calamoncillo Americano	Galinha-d'água-azul	Purple Gallinule
Porphyrio porphyrio	Pollo sultano	Purpurhuhn	Talève sultane	Calamón Común	Caimão	Western Swamphen
Porphyrio madagascariensis	Pollo sultano africano	Smaragdhuhn	Talève d'Afrique	Calamón de Africa	Caimão-comum	African Swamphen
Porphyrio poliocephalus	Pollo sultano testagrigia	Graukopf Purpurhuhn	Talève à tête grise	Calamón Cabecigrís		Gray-headed Swamphen
Porphyrio sp. (swamphen sp.)	Pollo sultano	Purpurhuhn	Talève sultane	Calamón Común	Caimão	swamphen sp.
Gallinula/Fulica/Porphyrio sp.			Gallinule sp. ou Foulque sp.			moorhen/coot/gallinule sp.
Gallicrex cinerea	Gallorallo acquaiolo	Wasserhahn	Râle à crête	Gallineta Crestada	Galo-d'água	Watercock
Amaurornis marginalis	Voltolino striato	Graukehl-Sumpfhuhn	Râle rayé	Polluela Culirroja	Franga-d'água-estriada	Striped Crake
Zapornia parva	Schiribilla	Kleines Sumpfhuhn	Marouette poussin	Polluela Bastarda	Franga-d'água-bastarda	Little Crake
Zapornia pusilla	Schiribilla grigiata	Zwergsumpfhuhn	Marouette de Baillon	Polluela Chica	Franga-d'água-pequena	Baillon's Crake
Zapornia pusilla intermedia		Zwerralle-intermedia	Marouette de Baillon [intermedia ou obscura]			Baillon's Crake (Western)
Zapornia pusilla pusilla		Zwergralle-pusilla	Marouette de Baillon (nominal)			Baillon's Crake (Eastern)
Zapornia parva/pusilla			Marouette poussin ou M. de Baillon			Little/Baillon's Crake
Porzana porzana/Zapornia parva/pusilla			Marouette poussin, M. de Baillon ou M. ponctuée			Spotted/Little/Baillon's Crake
Zapornia sp.			Zapornia sp.			Zapornia sp.
Porzana/Zapornia/Hapalocrex sp.			Porzana sp.			Porzana/Zapornia/Hapalocrex sp.
Rallidae sp. (rail/crake sp.)			Râle sp.			rail/crake sp.
Anthropoides virgo	Damigella della Numidia	Jungfernkranich	Grue demoiselle	Grulla Damisela	Grou-pequeno	Demoiselle Crane
Leucogeranus leucogeranus	Gru siberiana	Schneekranich	Grue de Sibérie	Grulla Siberiana	Grou-branco	Siberian Crane
Antigone canadensis	Gru canadese	Kanadakranich	Grue du Canada	Grulla Canadiense	Grou do Canadá	Sandhill Crane
Antigone canadensis canadensis	Gru canadese	Kanadakranich	Grue du Canada (naine)	Grulla canadiense		Sandhill Crane (canadensis)
Grus grus	Gru	Kranich	Grue cendrée	Grulla Común	Grou-comum	Common Crane
Grus monacha	Gru monaca	Mönchskranich	Grue moine	Grulla Monje	Grou-de-capuz	Hooded Crane
Gruidae sp.			Grue sp.			crane sp.
Chionis albus	Chione niveo	Weißgesicht-Scheidenschnabel	Chionis blanc	Picovaina de las Malvinas	Pomba-antartica	Snowy Sheathbill
Burhinus oedicnemus	Occhione	Triel	Oedicnème criard	Alcaraván Común	Alcaravão	Eurasian Thick-knee
Himantopus himantopus	Cavaliere d'Italia	Stelzenläufer	Échasse blanche	Cigüeñuela común	Pernilongo	Black-winged Stilt
Recurvirostra avosetta	Avocetta	Säbelschnäbler	Avocette élégante	Avoceta Común	Alfaiate	Pied Avocet
Recurvirostridae sp.			Échasse ou Avocette sp.			stilt/avocet sp.
Haematopus ostralegus	Beccaccia di mare	Austernfischer	Huîtrier pie	Ostrero Euroasiático	Ostraceiro	Eurasian Oystercatcher
Haematopus ostralegus ostralegus/longipes	Beccaccia di mare paleartica	Austernfischer	Huîtrier pie	Ostrero Euroasiático	Ostraceiro	Eurasian Oystercatcher (Western)
Haematopus palliatus	Beccaccia di mare americana	Braunmantel-Austernfischer	Huîtrier d'Amérique	Ostrero Pío Americano	Piru piru	American Oystercatcher
Haematopus meadewaldoi	Beccaccia di mare delle Canarie	Kanarenausternfischer	Huîtrier des Canaries	Ostrero Negro Canario	Ostraceiro das Canárias	Canarian Oystercatcher
Haematopus palliatus/bachmani	Beccaccia di mare nera del Nordamerica	Klippenausternfischer	Huîtrier d'Amérique	Ostrero Negro Norteamericano	Piru piru	American/Black Oystercatcher
Pluvialis squatarola	Pivieressa	Kiebitzregenpfeifer	Pluvier argenté	Chorlito Gris	Tarambola-cinzenta	Black-bellied Plover
Pluvialis apricaria	Piviere dorato	Goldregenpfeifer	Pluvier doré	Chorlito Dorado Europeo	Tarambola-dourada	European Golden-Plover
Pluvialis dominica	Piviere americano	Prärie-Goldregenpfeifer	Pluvier bronzé	Chorlito Dorado Americano	Tarambola-dourada-pequena	American Golden-Plover
Pluvialis fulva	Piviere orientale	Tundra-Goldregenpfeifer	Pluvier fauve	Chorlito Dorado Siberiano	Batuirucu	Pacific Golden-Plover
Pluvialis dominica/fulva	Piviere dorato minore	Wanderregenpfeifer	Pluvier bronzé	Chorlito Dorado Americano	Tarambola-dourada-pequena	American/Pacific Golden-Plover (Lesser Golden-Plover)
Pluvialis sp.			Pluvialis sp.			Black-bellied Plover/golden-plover sp.
Vanellus vanellus	Pavoncella	Kiebitz	Vanneau huppé	Avefría Europea	Abibe-comum	Northern Lapwing
Vanellus armatus	Pavoncella fabbro	Schmiedekiebitz	Vanneau armé	Avefría Armada	Abibe-preto-e-branco	Blacksmith Lapwing
Vanellus spinosus	Pavoncella armata	Spornkiebitz	Vanneau à éperons	Avefría Espinosa	Abibe-esporado	Spur-winged Lapwing
Vanellus cinereus	Pavoncella testagrigia	Graukopfkiebitz	Vanneau à tête grise	Avefría Ceniza	Abibe-de-cabeça-cinzenta	Gray-headed Lapwing
Vanellus indicus	Pavoncella indiana	Rotlappenkiebitz	Vanneau indien	Avefría India	Abibe do Índico	Red-wattled Lapwing
Vanellus gregarius	Pavoncella gregaria	Steppenkiebitz	Vanneau sociable	Avefría Sociable	Abibe-sociável	Sociable Lapwing
Vanellus leucurus	Pavoncella codabianca	Weißschwanzkiebitz	Vanneau à queue blanche	Avefría Coliblanca	Abibe-de-cauda-branca	White-tailed Lapwing
Vanellus sp.			Vanellus sp.			lapwing sp.
Charadrius mongolus	Corriere mongolo	Mongolenregenpfeifer	Pluvier de Mongolie	Chorlitejo Mongol Chico	Borrelho-mongol	Lesser Sand-Plover
Charadrius mongolus [atrifrons Group]		Mongolenregenpfeifer-otrifrons	Pluvier de Mongolie [atrifrons]			Lesser Sand-Plover (Tibetan)
Charadrius mongolus mongolus/stegmanni	Corriere della Mongolia	Mongolenregenpfeifer	Pluvier de Mongolie	Chorlitejo Mongol Chico	Borrelho-mongol	Lesser Sand-Plover (Mongolian)
Charadrius leschenaultii	Corriere di Leschenault	Wüstenregenpfeifer	Pluvier de Leschenault	Chorlitejo Mongol Grande	Borrelho-mongol-grande	Greater Sand-Plover
Charadrius mongolus/leschenaultii			Pluvier de Mongolie ou P. de Leschenault			Lesser/Greater Sand-Plover
Charadrius asiaticus	Corriere asiatico	Wermutregenpfeifer	Pluvier asiatique	Chorlitejo asiático chico	Borrelho asiatico	Caspian Plover
Charadrius pecuarius	Corriere di Kittlitz	Hirtenregenpfeifer	Pluvier pâtre	Chorlitejo Pecuario	Borrelho de Kittli	Kittlitz's Plover
Charadrius alexandrinus	Fratino	Seeregenpfeifer	Pluvier à collier interrompu	Chorlitejo patinegro	Borrelho-de-coleira-interrompida	Kentish Plover
Charadrius alexandrinus alexandrinus/nihonensis			Pluvier à collier interrompu			Kentish Plover (Kentish)
Charadrius nivosus	Piviere nevoso	Amerika-Seeregenpfeifer	Pluvier neigeux	Chorlitejo nivoso		Snowy Plover
Charadrius nivosus nivosus		Schneeregenpfeifer	Pluvier neigeux (nominal)	Chorlitejo Blanco		Snowy Plover (nivosus)
Charadrius alexandrinus/nivosus	Fratino	Seeregenpfeifer	Pluvier à collier interrompu	Chorlitejo Patinegro	Borrelho-de-coleira-interrompida	Kentish/Snowy Plover
Charadrius hiaticula	Corriere grosso	Sandregenpfeifer	Pluvier grand-gravelot	Chorlitejo Grande	Borrelho-grande-de-coleira	Common Ringed Plover
Charadrius semipalmatus	Corriere semipalmato	Amerikanischer Sandregenpfeifer	Pluvier semipalmé	Chorlitejo Semipalmeado	Borrelho-semipalmado	Semipalmated Plover
Charadrius hiaticula/semipalmatus	Corriere grosso	Sandregenpfeifer	Pluvier grand-gravelot	Chorlitejo Grande	Borrelho-grande-de-coleira	Common Ringed/Semipalmated Plover
Charadrius dubius	Corriere piccolo	Flußregenpfeifer	Pluvier petit-gravelot	Chorlitejo Chico	Borrelho-pequeno-de-coleira	Little Ringed Plover
Charadrius dubius curonicus		Flussregenpfeifer-curonicus	Pluvier petit-gravelot (du Nord)			Little Ringed Plover (curonicus)
Charadrius dubius dubius/jerdoni	Corriere piccolo	Flußregenpfeifer	Pluvier petit-gravelot [dubius ou jerdoni]	Chorlitejo Chico		Little Ringed Plover (dubius/jerdoni)
Charadrius vociferus	Corriere vocifero	Keilschwanz-Regenpfeifer	Pluvier kildir	Chorlitejo Culirrojo	Borrelho-de-dupla-coleira	Killdeer
Charadrius veredus	Corriere orientale	Steppenregenpfeifer	Pluvier oriental	Chorlito Asiático Grande	Batuíra-oriental	Oriental Plover
Charadrius morinellus	Piviere tortolino	Mornellregenpfeifer	Pluvier guignard	Chorlito Carambolo	Borrelho-ruivo	Eurasian Dotterel
Charadrius sp.			Charadrius sp.			small plover sp.
Charadriidae sp.			Pluvier sp.			plover sp.
Rostratula benghalensis	Beccaccia dorata	Goldschnepfe	Rhynchée peinte	Aguatero Bengalí	Narceja-pintada	Greater Painted-Snipe
Bartramia longicauda	Piro piro codalunga	Prärieläufer	Maubèche des champs	Correlimos Batitú	Maçarico-do-campo	Upland Sandpiper
Numenius phaeopus	Chiurlo piccolo	Regenbrachvogel	Courlis corlieu	Zarapito Trinador	Maçarico-galego	Whimbrel
Numenius phaeopus phaeopus/alboaxillaris/variegatus	Chiurlo piccolo	Regenbrachvogel	Courlis corlieu	Zarapito trinador	Maçarico-galego	Whimbrel (White-rumped)
Numenius phaeopus phaeopus		Regenbrachvogel	Courlis corlieu [phaeopus ou rogachevae]			Whimbrel (European)
Numenius phaeopus variegatus		Regenbrachvogel-variegatus	Courlis corlieu (Sibérie)			Whimbrel (Siberian)
Numenius phaeopus hudsonicus	Chiurlo piccolo americano	Hudsonbrachvogel	Courlis hudsonien	zarapito de Hudson	maçarico-de-bico-torto	Whimbrel (Hudsonian)
Numenius minutus	Chiurlo nano	Zwergbrachvogel	Courlis nain	Zarapito Chico	Maçarico-anão	Little Curlew
Numenius borealis	Chiurlo eschimese	Eskimobrachvogel	Courlis esquimau	Zarapito Esquimal	Maçarico-esquimó	Eskimo Curlew
Numenius tenuirostris	Chiurlottello	Dünnschnabel-Brachvogel	Courlis à bec grêle	Zarapito Fino	Maçarico-de-bico-fino	Slender-billed Curlew
Numenius arquata	Chiurlo maggiore	Großer Brachvogel	Courlis cendré	Zarapito Real	Maçarico-real	Eurasian Curlew
Numenius phaeopus/arquata			Courlis cendré ou C. corlieu			Whimbrel/Eurasian Curlew
Numenius sp.			Numenius sp.			curlew sp.
Limosa lapponica	Pittima minore	Pfuhlschnepfe	Barge rousse	Aguja Colipinta	Fuselo	Bar-tailed Godwit
Limosa lapponica lapponica		Pfuhlschnepfe-lapponica	Barge rousse [lapponica ou taymyrensis]			Bar-tailed Godwit (European)
Limosa lapponica baueri/menzbieri		Pfuhlschnepfe-baueri	Barge rousse [baueri, anadyrensis ou menzbieri]			Bar-tailed Godwit (Siberian)
Limosa limosa	Pittima reale	Uferschnepfe	Barge à queue noire	Aguja Colinegra	Maçarico-de-bico-direito	Black-tailed Godwit
Limosa limosa islandica		Uferschnepfe-islandica	Barge d'Islande			Black-tailed Godwit (islandica)
Limosa limosa limosa		Uferschnepfe-limosa	Barge à queue noire (nominal)			Black-tailed Godwit (limosa)
Limosa limosa melanuroides			Barge à queue noire (Sibérie)			Black-tailed Godwit (melanuroides)
Limosa haemastica	Pittima dell'Hudson	Hudsonschnepfe	Barge hudsonienne	Aguja Café	Macaricao de bico virado	Hudsonian Godwit
Limosa sp.			Limosa sp.			godwit sp.
Arenaria interpres	Voltapietre	Steinwälzer	Tournepierre à collier	Vuelvepiedras Común	Rola-do-mar	Ruddy Turnstone
Calidris tenuirostris	Piovanello gigante	Großer Knutt	Bécasseau de l'Anadyr	Correlimos Grande	Seixoeira-grande	Great Knot
Calidris canutus	Piovanello maggiore	Knutt	Bécasseau maubèche	Correlimos Gordo	Seixoeira	Red Knot
Calidris pugnax	Combattente	Kampfläufer	Combattant varié	Combatiente	Combatente	Ruff
Calidris falcinellus	Gambecchio frullino	Sumpfläufer	Bécasseau falcinelle	Correlimos Falcinelo	Pilrito-falcinelo	Broad-billed Sandpiper
Calidris acuminata	Piovanello siberiano	Spitzschwanz-Strandläufer	Bécasseau à queue pointue	Correlimos Acuminado	Pilrito-acuminado	Sharp-tailed Sandpiper
Calidris himantopus	Piro piro zampelunghe	Bindenstrandläufer	Bécasseau à échasses	Correlimos Zancolín	Maçarico-pernilongo	Stilt Sandpiper
Calidris ferruginea	Piovanello comune	Sichelstrandläufer	Bécasseau cocorli	Correlimos Zarapitín	Pilrito-de-bico-comprido	Curlew Sandpiper
Calidris temminckii	Gambecchio nano	Temminckstrandläufer	Bécasseau de Temminck	Correlimos de Temminck	Pilrito de Temminck	Temminck's Stint
Calidris subminuta	Gambecchio minore	Langzehen-Strandläufer	Bécasseau à longs doigts	Correlimos Dedilargo	Pilrito-de-dedos-compridos	Long-toed Stint
Calidris pygmaea	Gambecchio becco a spatola	Löffelstrandläufer	Bécasseau spatule	Correlimos Cuchareta	Pilrito-colhereiro	Spoon-billed Sandpiper
Calidris ruficollis	Gambecchio collorosso	Rotkehl-Strandläufer	Bécasseau à col roux	Correlimos Cuellirrojo	Pilrito-de-pescoço-ruivo	Red-necked Stint
Calidris alba	Piovanello tridattilo	Sanderling	Bécasseau sanderling	Correlimos Tridáctilo	Pilrito-sanderlingo	Sanderling
Calidris alpina	Piovanello pancianera	Alpenstrandläufer	Bécasseau variable	Correlimos Común	Pilrito-comum	Dunlin
Calidris alpina arctica		Alpenstrandläufer-arctica	Bécasseau variable (Groënland)			Dunlin (arctica)
Calidris alpina schinzii		Alpenstranläufer-schinzii	Bécasseau variable (schinzii)			Dunlin (schinzii)
Calidris alpina alpina		Alpenstranläufer-alpina	Bécasseau variable [alpina ou centralis]			Dunlin (alpina)
Calidris alpina [sakhalina Group]		Alpenstranläufer-sakhalina	Bécasseau variable [sakhalina, actites, kistchinski]			Dunlin (sakhalina Group)
Calidris ferruginea/alpina			Bécasseau cocorli ou B. variable			Curlew Sandpiper/Dunlin
Calidris maritima	Piovanello violetto	Meerstrandläufer	Bécasseau violet	Correlimos Oscuro	Pilrito-escuro	Purple Sandpiper
